"Ac-No","Name","sTime","Verify Mode","Machine","formattedDate"
190327,190327,"24/04/2024 9:00 AM",FP/PW/RF/FACE,1,"24/04/2024 09:00:00"
100209,100209,"24/04/2024 9:01 AM",FP/PW/RF/FACE,1,"24/04/2024 09:01:00"
103270,103270,"24/04/2024 9:02 AM",FP/PW/RF/FACE,1,"24/04/2024 09:02:00"
191453,191453,"24/04/2024 9:05 AM",FP/PW/RF/FACE,1,"24/04/2024 09:05:00"
100213,100213,"24/04/2024 9:17 AM",FP/PW/RF/FACE,1,"24/04/2024 09:17:00"
202447,202447,"24/04/2024 9:52 AM",FP/PW/RF/FACE,1,"24/04/2024 09:52:00"
10041,10041,"24/04/2024 9:57 AM",FP/PW/RF/FACE,1,"24/04/2024 09:57:00"
10034,10034,"24/04/2024 10:47 AM",FP/PW/RF/FACE,1,"24/04/2024 10:47:00"
143329,143329,"24/04/2024 11:14 AM",FP/PW/RF/FACE,1,"24/04/2024 11:14:00"
100215,100215,"24/04/2024 11:43 AM",FP/PW/RF/FACE,1,"24/04/2024 11:43:00"
156956,156956,"24/04/2024 1:56 PM",FP/PW/RF/FACE,1,"24/04/2024 13:56:00"
142209,142209,"24/04/2024 3:19 PM",FP/PW/RF/FACE,1,"24/04/2024 15:19:00"
188852,188852,"24/04/2024 5:50 PM",FP/PW/RF/FACE,1,"24/04/2024 17:50:00"
100222,100222,"24/04/2024 7:31 PM",FP/PW/RF/FACE,1,"24/04/2024 19:31:00"
205085,205085,"24/04/2024 7:58 PM",FP/PW/RF/FACE,1,"24/04/2024 19:58:00"
100211,100211,"25/04/2024 7:33 AM",FP/PW/RF/FACE,1,"25/04/2024 07:33:00"
100223,100223,"25/04/2024 7:33 AM",FP/PW/RF/FACE,1,"25/04/2024 07:33:00"
100199,100199,"25/04/2024 7:44 AM",FP/PW/RF/FACE,1,"25/04/2024 07:44:00"
202924,202924,"25/04/2024 7:44 AM",FP/PW/RF/FACE,1,"25/04/2024 07:44:00"
202921,202921,"25/04/2024 7:46 AM",FP/PW/RF/FACE,1,"25/04/2024 07:46:00"
100208,100208,"25/04/2024 7:52 AM",FP/PW/RF/FACE,1,"25/04/2024 07:52:00"
158382,158382,"25/04/2024 7:52 AM",FP/PW/RF/FACE,1,"25/04/2024 07:52:00"
202917,202917,"25/04/2024 7:52 AM",FP/PW/RF/FACE,1,"25/04/2024 07:52:00"
10160,10160,"25/04/2024 7:52 AM",FP/PW/RF/FACE,1,"25/04/2024 07:52:00"
205883,205883,"25/04/2024 7:56 AM",FP/PW/RF/FACE,1,"25/04/2024 07:56:00"
205085,205085,"25/04/2024 7:58 AM",FP/PW/RF/FACE,1,"25/04/2024 07:58:00"
206550,206550,"25/04/2024 7:58 AM",FP/PW/RF/FACE,1,"25/04/2024 07:58:00"
185266,185266,"25/04/2024 7:58 AM",FP/PW/RF/FACE,1,"25/04/2024 07:58:00"
202910,202910,"25/04/2024 8:00 AM",FP/PW/RF/FACE,1,"25/04/2024 08:00:00"
187418,187418,"25/04/2024 8:00 AM",FP/PW/RF/FACE,1,"25/04/2024 08:00:00"
205086,205086,"25/04/2024 8:01 AM",FP/PW/RF/FACE,1,"25/04/2024 08:01:00"
202918,202918,"25/04/2024 8:01 AM",FP/PW/RF/FACE,1,"25/04/2024 08:01:00"
205087,205087,"25/04/2024 8:02 AM",FP/PW/RF/FACE,1,"25/04/2024 08:02:00"
